stat,param,correlation
stat_0,mu,0.1581
stat_1,mu,0.0144
stat_2,mu,-0.0220
stat_3,mu,0.0443
stat_4,mu,-0.0755
stat_5,mu,-0.0020
stat_6,mu,0.0377
stat_7,mu,-0.0201
stat_8,mu,0.0563
stat_9,mu,-0.0133
stat_10,mu,0.0284
stat_11,mu,0.0127
stat_0,v0,-0.0082
stat_1,v0,0.3118
stat_2,v0,0.0816
stat_3,v0,-0.0861
stat_4,v0,0.2127
stat_5,v0,-0.0940
stat_6,v0,0.1137
stat_7,v0,-0.0031
stat_8,v0,0.1808
stat_9,v0,-0.0733
stat_10,v0,0.1466
stat_11,v0,-0.0902
stat_0,theta,-0.0287
stat_1,theta,0.3313
stat_2,theta,-0.0405
stat_3,theta,-0.0089
stat_4,theta,0.2407
stat_5,theta,-0.2071
stat_6,theta,0.2022
stat_7,theta,0.0043
stat_8,theta,0.2760
stat_9,theta,-0.1910
stat_10,theta,0.1113
stat_11,theta,-0.1289
stat_0,kappa,0.0069
stat_1,kappa,0.0401
stat_2,kappa,0.0077
stat_3,kappa,-0.0645
stat_4,kappa,0.0239
stat_5,kappa,-0.0920
stat_6,kappa,-0.0031
stat_7,kappa,0.0103
stat_8,kappa,0.0036
stat_9,kappa,-0.0579
stat_10,kappa,-0.0450
stat_11,kappa,-0.0577
stat_0,sigma_v,-0.0127
stat_1,sigma_v,-0.0567
stat_2,sigma_v,0.0228
stat_3,sigma_v,0.1304
stat_4,sigma_v,-0.0348
stat_5,sigma_v,0.4103
stat_6,sigma_v,0.1342
stat_7,sigma_v,-0.0136
stat_8,sigma_v,0.0929
stat_9,sigma_v,0.4073
stat_10,sigma_v,0.4297
stat_11,sigma_v,0.3173
stat_0,rho,-0.0082
stat_1,rho,0.0103
stat_2,rho,-0.0407
stat_3,rho,0.0044
stat_4,rho,0.0070
stat_5,rho,-0.0236
stat_6,rho,0.0138
stat_7,rho,0.0092
stat_8,rho,0.0168
stat_9,rho,-0.0043
stat_10,rho,0.0078
stat_11,rho,0.0107
stat_0,lambda,0.1581
stat_1,lambda,0.0144
stat_2,lambda,-0.0220
stat_3,lambda,0.0443
stat_4,lambda,-0.0755
stat_5,lambda,-0.0020
stat_6,lambda,0.0377
stat_7,lambda,-0.0201
stat_8,lambda,0.0563
stat_9,lambda,-0.0133
stat_10,lambda,0.0284
stat_11,lambda,0.0127
stat_0,mu_J,-0.0082
stat_1,mu_J,0.3118
stat_2,mu_J,0.0816
stat_3,mu_J,-0.0861
stat_4,mu_J,0.2127
stat_5,mu_J,-0.0940
stat_6,mu_J,0.1137
stat_7,mu_J,-0.0031
stat_8,mu_J,0.1808
stat_9,mu_J,-0.0733
stat_10,mu_J,0.1466
stat_11,mu_J,-0.0902
stat_0,sigma_J,-0.0287
stat_1,sigma_J,0.3313
stat_2,sigma_J,-0.0405
stat_3,sigma_J,-0.0089
stat_4,sigma_J,0.2407
stat_5,sigma_J,-0.2071
stat_6,sigma_J,0.2022
stat_7,sigma_J,0.0043
stat_8,sigma_J,0.2760
stat_9,sigma_J,-0.1910
stat_10,sigma_J,0.1113
stat_11,sigma_J,-0.1289
