stat,param,correlation
stat_0,mu,0.1647
stat_1,mu,0.0069
stat_2,mu,0.0214
stat_3,mu,0.0105
stat_4,mu,-0.0825
stat_5,mu,0.0024
stat_6,mu,-0.0065
stat_7,mu,-0.0211
stat_8,mu,0.0023
stat_9,mu,0.0069
stat_10,mu,0.0075
stat_11,mu,-0.0137
stat_0,v0,-0.0178
stat_1,v0,0.3190
stat_2,v0,-0.0171
stat_3,v0,-0.0798
stat_4,v0,0.2219
stat_5,v0,-0.0983
stat_6,v0,0.1654
stat_7,v0,-0.0028
stat_8,v0,0.3075
stat_9,v0,-0.0962
stat_10,v0,0.1728
stat_11,v0,-0.0735
stat_0,theta,-0.0288
stat_1,theta,0.3228
stat_2,theta,-0.0873
stat_3,theta,-0.2533
stat_4,theta,0.2354
stat_5,theta,-0.2050
stat_6,theta,0.1615
stat_7,theta,0.0035
stat_8,theta,0.2720
stat_9,theta,-0.1855
stat_10,theta,0.0817
stat_11,theta,-0.1425
stat_0,kappa,0.0062
stat_1,kappa,0.0413
stat_2,kappa,-0.0449
stat_3,kappa,-0.1176
stat_4,kappa,0.0263
stat_5,kappa,-0.0994
stat_6,kappa,-0.0041
stat_7,kappa,0.0055
stat_8,kappa,0.0177
stat_9,kappa,-0.0696
stat_10,kappa,-0.0437
stat_11,kappa,-0.0572
stat_0,sigma_v,-0.0110
stat_1,sigma_v,-0.0589
stat_2,sigma_v,0.1057
stat_3,sigma_v,0.3968
stat_4,sigma_v,-0.0350
stat_5,sigma_v,0.4160
stat_6,sigma_v,0.1865
stat_7,sigma_v,-0.0140
stat_8,sigma_v,0.1276
stat_9,sigma_v,0.4275
stat_10,sigma_v,0.4522
stat_11,sigma_v,0.3359
stat_0,rho,-0.0092
stat_1,rho,0.0088
stat_2,rho,-0.1158
stat_3,rho,-0.0225
stat_4,rho,0.0062
stat_5,rho,-0.0234
stat_6,rho,0.0063
stat_7,rho,0.0106
stat_8,rho,0.0047
stat_9,rho,-0.0017
stat_10,rho,0.0029
stat_11,rho,0.0131
