stat,param,correlation
stat_0,mu,0.0840
stat_1,mu,0.0582
stat_2,mu,-0.0310
stat_3,mu,0.0196
stat_4,mu,-0.0282
stat_5,mu,0.0067
stat_6,mu,0.0431
stat_7,mu,0.0008
stat_8,mu,0.0798
stat_9,mu,-0.0081
stat_10,mu,0.0682
stat_11,mu,-0.0029
stat_0,sigma,-0.1008
stat_1,sigma,0.8810
stat_2,sigma,0.1204
stat_3,sigma,-0.1234
stat_4,sigma,0.7275
stat_5,sigma,-0.0309
stat_6,sigma,0.2840
stat_7,sigma,-0.0061
stat_8,sigma,0.7110
stat_9,sigma,0.0011
stat_10,sigma,0.7268
stat_11,sigma,-0.0246
stat_0,lambda,0.0840
stat_1,lambda,0.0582
stat_2,lambda,-0.0310
stat_3,lambda,0.0196
stat_4,lambda,-0.0282
stat_5,lambda,0.0067
stat_6,lambda,0.0431
stat_7,lambda,0.0008
stat_8,lambda,0.0798
stat_9,lambda,-0.0081
stat_10,lambda,0.0682
stat_11,lambda,-0.0029
stat_0,mu_J,-0.1008
stat_1,mu_J,0.8810
stat_2,mu_J,0.1204
stat_3,mu_J,-0.1234
stat_4,mu_J,0.7275
stat_5,mu_J,-0.0309
stat_6,mu_J,0.2840
stat_7,mu_J,-0.0061
stat_8,mu_J,0.7110
stat_9,mu_J,0.0011
stat_10,mu_J,0.7268
stat_11,mu_J,-0.0246
stat_0,sigma_J,-0.0024
stat_1,sigma_J,0.0283
stat_2,sigma_J,-0.0469
stat_3,sigma_J,0.0841
stat_4,sigma_J,0.0136
stat_5,sigma_J,0.0075
stat_6,sigma_J,0.0685
stat_7,sigma_J,-0.0161
stat_8,sigma_J,0.0863
stat_9,sigma_J,0.0251
stat_10,sigma_J,0.0729
stat_11,sigma_J,0.0127
